# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct  6 12:24:09 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
#
pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,st_teff,st_tefferr1,st_tefferr2,st_tefflim
14 Her b,14 Her,Radial Velocity,2002,,,,,2.730000,,,0,,,,,,,,,,,,,0.357000,,,0,,,,,,,,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.45000000,0.15000000,-0.15000000,0,1.676000,0.025000,-0.025000,0,,,,,,,,,,,,,0.683200,0.003100,-0.003100,0,,,,,,,,,5711.97,93.25,-93.25,0
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.50000000,1.00000000,-1.00000000,0,1.681000,0.097000,-0.097000,0,,,,,,,,,,,,,0.681000,0.017000,-0.017000,0,,,,,,,,,5674.00,,,0
16 Cyg B b,16 Cyg B,Radial Velocity,1996,800.80000000,11.70000000,-11.70000000,0,1.600000,,,0,,,,,,,,,,,,,0.634000,0.082000,-0.082000,0,,,,,,,,,5760.00,20.00,-20.00,0
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.50000000,0.60000000,-0.60000000,0,1.680000,0.030000,-0.030000,0,,,,,,,,,,,,,0.689000,0.011000,-0.011000,0,,,,,,,,,5747.00,143.26,-142.80,0
16 Cyg B b,16 Cyg B,Radial Velocity,1996,799.50000000,0.60000000,-0.60000000,0,1.680000,0.030000,-0.030000,0,,,,,,,,,,,,,0.689000,0.011000,-0.011000,0,,,,,,,,,,,,
16 Cyg B b,16 Cyg B,Radial Velocity,1996,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,,,,,,,,,,,,,0.680000,0.020000,-0.020000,0,,,,,,,,,5750.00,8.00,-8.00,0
17 Sco b,17 Sco,Radial Velocity,2020,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,,,,,,,,,,,,,0.060000,0.030000,-0.020000,0,,,,,,,,,4157.00,11.00,-10.00,0
18 Del b,18 Del,Radial Velocity,2008,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,,,,,,,,,,,,,0.080000,0.010000,-0.010000,0,,,,,,,,,4979.00,18.00,-18.00,0
18 Del b,18 Del,Radial Velocity,2008,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,,,,,,,,,,,,,0.024000,0.007000,-0.018000,0,,,,,,,,,4980.00,,,0
18 Del b,18 Del,Radial Velocity,2008,,,,,2.540000,0.040000,-0.040000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,,,,330.000000,,,0,,,,,4000.00000,300.00000,-300.00000,0,,,,,,,,,1700,100,-100,0,,,,,4060.00,300.00,-200.00,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,,,,330.000000,,,0,,,,,3000.00000,300.00000,-300.00000,0,,,,,,,,,1700,100,-100,0,,,,,4060.00,300.00,-200.00,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,,,,330.000000,,,0,,,,,3000.00000,1000.00000,-700.00000,0,,,,,,,,,1800,200,-200,0,,,,,3993.00,142.70,-159.97,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008,,,,,330.000000,,,0,18.647,,,0,2543.00000,1271.00000,-636.00000,0,,,,,,,,,1800,200,-100,0,,,,,4060.00,300.00,-200.00,0
24 Boo b,24 Boo,Radial Velocity,2018,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,,,,,,,,,,,,,0.042000,0.048000,-0.029000,0,,,,,,,,,4893.00,15.00,-15.00,0
24 Boo b,24 Boo,Radial Velocity,2018,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,,,,,,,,,,,,,0.032000,0.039000,-0.023000,0,,,,,,,,,4816.00,,,0
24 Sex b,24 Sex,Radial Velocity,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,,,,,,,,,0.090000,0.140000,-0.060000,0,,,,,,,,,5098.00,44.00,-44.00,0
24 Sex c,24 Sex,Radial Velocity,2010,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,,,,,,,,,,,,,0.290000,0.160000,-0.090000,0,,,,,,,,,5098.00,44.00,-44.00,0
2M0437 b,2MASS J04372171+2651014,Imaging,2021,,,,,118.000000,1.300000,-1.300000,0,,,,,1271.31363,317.82841,-317.82841,0,,,,,,,,,1450,50,-50,0,,,,,3100.00,100.00,-100.00,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013,,,,,84.000000,,,0,,,,,4131.79000,317.83000,-317.83000,0,,,,,,,,,,,,,,,,,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,,,,,,,,,11.209,,,0,,,,,,,,,,,,,1600,100,-100,0,,,,,3309.00,157.00,-157.00,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013,,,,,52.000000,6.000000,-6.000000,0,,,,,7786.50000,794.50000,-794.50000,0,,,,,,,,,,,,,,,,,3530.00,50.00,-50.00,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015,,,,,156.000000,10.000000,-10.000000,0,16.141,0.336,-0.336,0,4417.83700,349.61300,-349.61300,0,,,,,,,,,,,,,,,,,3064.00,76.00,-76.00,0
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018,,,,,1950.000000,200.000000,-200.000000,0,,,,,3686.80952,413.17693,-317.82841,0,,,,,,,,,,,,,,,,,,,,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024,,,,,572.000000,7.000000,-7.000000,0,,,,,5720.91133,317.82841,-317.82841,0,,,,,,,,,2369,21,-5,0,,,,,,,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010,,,,,15.000000,,,0,,,,,2383.60000,794.50000,-794.50000,0,,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,Imaging,2024,,,,,266.000000,8.000000,-8.000000,0,,,,,8899.19540,3178.28407,-2224.79885,0,,,,,,,,,2677,78,-76,0,,,,,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,Imaging,2024,,,,,587.000000,2.000000,-2.000000,0,,,,,6356.56814,317.82841,-317.82841,0,,,,,,,,,2506,2,-2,0,,,,,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,,,,,55.000000,,,0,,,,,1589.15000,635.66000,-635.66000,0,,,,,,,,,1250,200,-200,0,,,,,,,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,Imaging,2004,,,,,46.000000,5.000000,-5.000000,0,,,,,1271.00000,318.00000,-318.00000,0,,,,,,,,,1150,150,-150,0,,,,,2825.00,157.00,-157.00,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,406.00000000,4.00000000,-4.00000000,0,,,,,,,,,,,,,,,,,0.330000,0.050000,-0.050000,0,,,,,,,,,29564.00,,,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,Eclipse Timing Variations,2015,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,603.87700,31.78300,-31.78300,0,,,,,,,,,,,,,,,,,,,,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,Imaging,2024,,,,,7493.000000,11.000000,-11.000000,0,,,,,3813.94088,317.82841,-317.82841,0,,,,,,,,,1616,32,-3,0,,,,,,,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,Imaging,2016,,,,,230.000000,20.000000,-20.000000,0,,,,,3972.87500,476.74500,-476.74500,0,,,,,,,,,,,,,,,,,4045.00,35.00,-35.00,0
30 Ari B b,30 Ari B,Radial Velocity,2009,335.10000000,2.50000000,-2.50000000,0,0.995000,0.012000,-0.012000,0,,,,,,,,,,,,,0.289000,0.092000,-0.092000,0,,,,,,,,,6300.00,60.00,-60.00,0
30 Ari B b,30 Ari B,Radial Velocity,2009,345.40000000,3.80000000,-3.80000000,0,1.010000,0.010000,-0.010000,0,,,,,,,,,,,,,0.180000,0.110000,-0.110000,0,,,,,,,,,,,,
30 Ari B b,30 Ari B,Radial Velocity,2009,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,,,,,,,,,,,,,0.290000,0.090000,-0.090000,0,,,,,,,,,6331.00,61.00,-61.00,0
4 UMa b,4 UMa,Radial Velocity,2006,270.27000000,0.24000000,-0.09000000,0,0.877000,0.001000,0.000000,0,,,,,,,,,,,,,0.453000,0.021000,-0.036000,0,,,,,,,,,4415.00,70.00,-70.00,0
4 UMa b,4 UMa,Radial Velocity,2006,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,,,,,,,,,,,,,0.432000,0.024000,-0.024000,0,,,,,,,,,4415.00,70.00,-70.00,0
42 Dra b,42 Dra,Radial Velocity,2008,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,,,,,,,,,,,,,0.380000,0.060000,-0.060000,0,,,,,,,,,4200.00,70.00,-70.00,0
47 UMa b,47 UMa,Radial Velocity,1996,1076.60000000,2.30000000,-2.30000000,0,2.100000,0.022000,-0.022000,0,,,,,,,,,,,,,0.012000,0.023000,-0.023000,0,,,,,,,,,5882.00,44.00,-44.00,0
47 UMa b,47 UMa,Radial Velocity,1996,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,,,,,,,,,,,,,0.032000,0.014000,-0.014000,0,,,,,,,,,5872.00,92.94,-113.53,0
47 UMa b,47 UMa,Radial Velocity,1996,1100.80000000,7.20000000,-7.20000000,0,2.110000,,,0,,,,,,,,,,,,,0.097000,0.039000,-0.039000,0,,,,,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,1083.20000000,1.80000000,-1.80000000,0,2.110000,0.040000,-0.040000,0,,,,,,,,,,,,,0.049000,0.014000,-0.014000,0,,,,,,,,,,,,
47 UMa b,47 UMa,Radial Velocity,1996,1076.60000000,1.30000000,-1.10000000,0,2.059000,0.031000,-0.032000,0,,,,,,,,,,,,,0.016000,0.007600,-0.008000,0,,,,,,,,,5829.16,94.78,-94.78,0
47 UMa c,47 UMa,Radial Velocity,2001,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,,,,,,,,,,,,,0.098000,0.047000,-0.096000,0,,,,,,,,,5872.00,92.94,-113.53,0
47 UMa c,47 UMa,Radial Velocity,2001,7586.00000000,727.00000000,-727.00000000,0,7.730000,0.580000,-0.580000,0,,,,,,,,,,,,,0.005000,,,0,,,,,,,,,,,,
47 UMa c,47 UMa,Radial Velocity,2001,2287.00000000,19.00000000,-16.00000000,0,3.404000,0.054000,-0.056000,0,,,,,,,,,,,,,0.179000,0.090000,-0.092000,0,,,,,,,,,5829.16,94.78,-94.78,0
47 UMa d,47 UMa,Radial Velocity,2009,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,,,,,,,,,,,,,0.160000,0.090000,-0.160000,0,,,,,,,,,5872.00,92.94,-113.53,0
47 UMa d,47 UMa,Radial Velocity,2009,19000.00000000,11000.00000000,-4000.00000000,0,13.800000,4.800000,-2.100000,0,,,,,,,,,,,,,0.380000,0.160000,-0.150000,0,,,,,,,,,5829.16,94.78,-94.78,0
51 Eri b,51 Eri,Imaging,2015,14965.00000000,12775.00000000,-4380.00000000,0,14.000000,7.000000,-3.000000,0,,,,,,,,,,,,,0.210000,0.190000,-0.150000,0,,,,,138.000,15.000,-13.000,0,7295.00,120.09,-98.99,0
51 Eri b,51 Eri,Imaging,2015,11688.00000000,6209.25000000,-3287.25000000,0,12.000000,4.000000,-2.000000,0,,,,,,,,,,,,,0.450000,0.100000,-0.150000,0,,,,,133.000,14.000,-7.000,0,7295.00,120.09,-98.99,0
51 Eri b,51 Eri,Imaging,2015,,,,,13.200000,0.200000,-0.200000,0,,,,,635.66000,,,0,,,,,,,,,700,,,0,,,,,,,,
51 Peg b,51 Peg,Radial Velocity,1995,4.23077000,0.00004000,-0.00004000,0,0.052000,,,0,,,,,,,,,,,,,0.000000,0.000000,0.000000,0,,,,,,,,,,,,
51 Peg b,51 Peg,Radial Velocity,1995,4.22930000,0.00110000,-0.00110000,0,,,,,,,,,,,,,,,,,0.000000,,,0,,,,,,,,,5773.00,,,0
51 Peg b,51 Peg,Radial Velocity,1995,4.23079690,0.00000730,-0.00000780,0,0.052350,0.000760,-0.000790,0,,,,,,,,,,,,,0.004200,0.004600,-0.003000,0,,,,,,,,,5760.76,95.49,-95.49,0
51 Peg b,51 Peg,Radial Velocity,1995,4.23100000,,,0,0.052000,,,0,,,,,146.20180,19.06980,-3.17830,0,,,,,0.000000,,,0,,,,,80.000,10.000,-19.000,0,,,,
51 Peg b,51 Peg,Radial Velocity,1995,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,,,,,,,,,,,,,0.013000,0.012000,-0.012000,0,,,,,,,,,5758.00,101.62,-119.62,0
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65162000,0.00070000,-0.00070000,0,0.115000,0.000001,-0.000001,0,,,,,,,,,,,,,0.014000,0.008000,-0.008000,0,,,,,,,,,5250.00,123.30,-171.85,0
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65126000,0.00070000,-0.00070000,0,0.113800,0.006600,-0.006600,0,,,,,,,,,,,,,0.015900,0.008000,-0.008000,0,,,,,,,,,5250.00,123.30,-171.85,0
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65300000,0.00060000,-0.00060000,0,0.115000,0.003000,-0.003000,0,,,,,,,,,,,,,0.020000,0.020000,-0.020000,0,,,,,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,14.67000000,0.01000000,-0.01000000,0,0.115000,0.003000,-0.003000,0,,,,,,,,,,,,,0.019700,0.012000,-0.012000,0,,,,,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,14.64700000,0.00100000,-0.00100000,0,0.115000,,,0,,,,,,,,,,,,,0.030000,0.023000,-0.023000,0,,,,,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65171000,0.00005300,-0.00005200,0,0.116200,0.001800,-0.001800,0,,,,,,,,,,,,,0.004800,0.003600,-0.003100,0,,,,,,,,,5317.89,80.51,-80.51,0
55 Cnc b,55 Cnc,Radial Velocity,1996,14.46531400,0.00090000,-0.00095000,0,0.113390,0.000110,-0.000110,0,,,,,266.96600,41.63400,-9.85200,0,,,,,0.002300,0.002500,-0.001600,0,,,,,89.730,24.490,-24.540,0,5250.00,123.30,-171.85,0
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65160000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,,,,,,,,,0.000000,0.010000,-0.010000,0,,,,,,,,,5172.00,18.00,-18.00,0
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,,,,,263.97850,1.04880,-1.04880,0,,,,,0.003400,0.003200,-0.003200,0,,,,,90.000,,,0,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,14.64800000,0.00090000,-0.00090000,0,0.110000,,,0,,,,,,,,,,,,,0.051000,0.013000,-0.013000,0,,,,,,,,,5200.00,,,0
55 Cnc b,55 Cnc,Radial Velocity,1996,14.60000000,,,0,0.113000,,,0,,,,,254.25000,,,0,,,,,0.000000,,,0,700,,,0,,,,,,,,
55 Cnc b,55 Cnc,Radial Velocity,1996,14.65100000,0.00010000,-0.00010000,0,0.113400,0.000600,-0.000600,0,,,,,,,,,,,,,0.004000,0.003000,-0.003000,0,,,,,,,,,5250.00,123.30,-171.85,0
55 Cnc c,55 Cnc,Radial Velocity,2004,44.39890000,0.00420000,-0.00430000,0,0.237300,0.001300,-0.001300,0,,,,,,,,,,,,,0.030000,0.020000,-0.020000,0,,,,,,,,,5172.00,18.00,-18.00,0
55 Cnc c,55 Cnc,Radial Velocity,2004,44.37300000,0.02000000,-0.01800000,0,0.237350,0.000240,-0.000240,0,,,,,56.69850,8.74000,-2.47900,0,,,,,0.072000,0.013000,-0.014000,0,,,,,89.730,24.490,-24.540,0,5250.00,123.30,-171.85,0
55 Cnc c,55 Cnc,Radial Velocity,2004,44.37870000,0.00700000,-0.00700000,0,0.238000,0.014000,-0.014000,0,,,,,,,,,,,,,0.053000,0.052000,-0.052000,0,,,,,,,,,5250.00,123.30,-171.85,0
55 Cnc c,55 Cnc,Radial Velocity,2004,43.93000000,0.25000000,-0.25000000,0,0.240000,0.008000,-0.008000,0,,,,,,,,,,,,,0.440000,0.080000,-0.080000,0,,,,,,,,,,,,
55 Cnc c,55 Cnc,Radial Velocity,2004,44.38270000,0.00380000,-0.00380000,0,0.243200,0.003700,-0.003800,0,,,,,,,,,,,,,0.048000,0.031000,-0.029000,0,,,,,,,,,5317.89,80.51,-80.51,0
55 Cnc c,55 Cnc,Radial Velocity,2004,44.38000000,0.00700000,-0.00700000,0,0.237000,0.001300,-0.001300,0,,,,,,,,,,,,,0.070000,0.020000,-0.020000,0,,,,,,,,,5250.00,123.30,-171.85,0
55 Cnc c,55 Cnc,Radial Velocity,2004,44.34460000,0.00700000,-0.00700000,0,0.240000,0.000045,-0.000045,0,,,,,,,,,,,,,0.086000,0.052000,-0.052000,0,,,,,,,,,5250.00,123.30,-171.85,0
55 Cnc c,55 Cnc,Radial Velocity,2004,44.41750000,0.00730000,-0.00730000,0,0.241376,0.000026,-0.000026,0,,,,,54.47380,1.74800,-1.74800,0,,,,,0.020000,0.031000,-0.031000,0,,,,,90.000,,,0,,,,
55 Cnc d,55 Cnc,Radial Velocity,2002,4867.00000000,25.00000000,-26.00000000,0,5.446000,0.020000,-0.020000,0,,,,,1226.77000,190.69000,-47.67000,0,,,,,0.026900,0.006100,-0.006500,0,,,,,89.730,24.490,-24.540,0,5250.00,123.30,-171.85,0
